method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,1,13,240.040004,7.092267
BUCKET,2,5,238.560006,6.994192
BUCKET,3,18,248.600002,3.329576
BUCKET,4,2,276.974998,3.782249
BUCKET,5,9,269.270003,0.975013
BUCKET,6,2,243.395001,3.846877
BUCKET,7,15,244.509995,0.440372
FULL,1,13,236.690000,7.911911
FULL,2,5,237.599999,6.997600
FULL,3,18,235.799998,3.849973
FULL,4,2,260.675006,3.980223
FULL,5,9,233.500004,1.416886
FULL,6,2,240.695000,3.890543
FULL,7,15,235.579997,0.463330
ONEKEY,1,13,257.210001,6.604304
ONEKEY,2,5,258.750007,6.161512
ONEKEY,3,18,245.010000,3.371655
ONEKEY,4,2,373.245001,2.745015
ONEKEY,5,9,241.990000,1.195378
ONEKEY,6,2,305.845000,3.063272
ONEKEY,7,15,246.790007,0.432542
TORCH,1,13,104.780000,17.971695
TORCH,2,5,104.769997,15.992256
TORCH,3,18,105.200000,8.624632
TORCH,4,2,105.455000,10.622157
TORCH,5,9,105.580002,3.300728
TORCH,6,2,104.714999,8.963868
TORCH,7,15,106.260002,1.029199
