method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,1,2,136.358000,12.091757
BUCKET,2,3,191.224000,8.170362
BUCKET,3,6,116.718000,6.656548
BUCKET,5,2,243.495000,3.289752
BUCKET,7,3,49.311000,2.284000
FULL,1,2,135.293500,12.217980
FULL,2,3,192.564000,10.882749
FULL,3,6,116.633000,7.361732
FULL,5,2,242.854000,3.298616
FULL,7,3,49.190000,2.302433
ONEKEY,1,2,183.490000,9.082336
ONEKEY,2,3,194.604000,8.123629
ONEKEY,3,6,117.161500,6.766782
ONEKEY,5,2,242.480000,3.303243
ONEKEY,7,3,50.042000,2.264147
TORCH,1,2,16.245000,105.228201
TORCH,2,3,24.510000,80.276562
TORCH,3,6,12.175500,64.420127
TORCH,5,2,37.126000,21.598904
TORCH,7,3,6.820000,17.060027
