method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,2,820.319995,4.569717
BUCKET,1,43,348.655999,5.289230
BUCKET,2,17,564.144015,3.964891
BUCKET,3,57,186.368003,3.736179
BUCKET,4,8,918.584004,0.667266
BUCKET,5,37,192.512006,1.053488
BUCKET,6,14,642.967999,0.483960
BUCKET,7,78,157.696001,0.471489
FULL,0,2,497.288004,7.546216
FULL,1,43,95.232002,13.534792
FULL,2,17,106.207997,12.781806
FULL,3,57,64.127997,10.195274
FULL,4,8,557.072014,1.109687
FULL,5,37,71.680002,2.198469
FULL,6,14,162.256002,1.567380
FULL,7,78,52.328000,1.253633
ONEKEY,0,2,955.648035,4.075806
ONEKEY,1,43,336.864009,4.596321
ONEKEY,2,17,552.959979,3.274720
ONEKEY,3,57,254.303992,2.772857
ONEKEY,4,8,1035.967991,0.622326
ONEKEY,5,37,221.695997,0.980099
ONEKEY,6,14,518.087998,0.499292
ONEKEY,7,78,152.064003,0.413734
TORCH,0,2,1011.456013,3.791669
TORCH,1,43,281.599998,5.839674
TORCH,2,17,290.800005,6.488980
TORCH,3,57,138.239995,4.441152
TORCH,4,8,1070.079982,0.504106
TORCH,5,37,279.312000,0.756396
TORCH,6,14,259.040006,0.767861
TORCH,7,78,92.656001,0.725516
