timestamp,method,workload,split,shape_id,M,N,K,dtype,gpu,config_id,BLOCK_M,BLOCK_N,BLOCK_K,num_warps,num_stages,GROUP_M,compile_time_ms,tune_time_ms,runtime_cost_us,p99_us,runtime_perf_tflops,bucket_m,bucket_n,bucket_k,cache_key,invalid_config,notes
2026-03-03T06:03:34.738280+00:00,FULL,llm_style,tune,llm_style_tune_000,64,6144,6144,bf16,NVIDIA GeForce RTX 4060,c06,64,128,32,4,3,8,2.4838059907779098,897.268,334.7039967775345,412.78464913368214,14.436153301185543,1,-1,-1,64x6144x6144,0,
2026-03-03T06:03:34.906917+00:00,FULL,llm_style,tune,llm_style_tune_001,64,8192,1536,bf16,NVIDIA GeForce RTX 4060,c06,64,128,32,4,3,8,0.0,168.599,94.03200075030327,128.5427226126194,17.12834697920437,1,-1,-1,64x8192x1536,0,
2026-03-03T06:03:35.226478+00:00,FULL,llm_style,tune,llm_style_tune_002,32,3072,8192,bf16,NVIDIA GeForce RTX 4060,c06,64,128,32,4,3,8,0.0,319.521,230.3999960422516,264.11520689725876,6.990506786747687,2,-1,-1,32x3072x8192,0,
2026-03-03T06:03:35.496641+00:00,FULL,llm_style,tune,llm_style_tune_003,4,6144,3072,bf16,NVIDIA GeForce RTX 4060,c06,64,128,32,4,3,8,0.0,270.112,179.19999361038208,254.80447873473156,0.8426057443299597,5,-1,-1,4x6144x3072,0,
2026-03-03T06:03:35.603914+00:00,FULL,llm_style,tune,llm_style_tune_004,8,8192,1024,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,107.224,48.16000163555145,61.424000076949596,2.78691286216488,5,-1,-1,8x8192x1024,0,
2026-03-03T06:03:35.913770+00:00,FULL,llm_style,tune,llm_style_tune_005,32,8192,3072,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,309.81,229.21600192785263,268.8041687011719,7.026615604729691,1,-1,-1,32x8192x3072,0,
2026-03-03T06:03:36.468140+00:00,FULL,llm_style,tune,llm_style_tune_006,32,6144,8192,bf16,NVIDIA GeForce RTX 4060,c06,64,128,32,4,3,8,0.0,554.328,427.0080029964447,512.6854416728019,7.54371217727931,0,-1,-1,32x6144x8192,0,
2026-03-03T06:03:36.549867+00:00,FULL,llm_style,tune,llm_style_tune_007,8,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,81.687,46.00000008940697,60.48095937818286,1.094166258742911,7,-1,-1,8x1536x2048,0,
2026-03-03T06:03:36.649251+00:00,FULL,llm_style,tune,llm_style_tune_008,16,1536,4096,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,99.342,56.32000043988228,64.3151995167136,3.5746908811711084,7,-1,-1,16x1536x4096,0,
2026-03-03T06:03:36.731999+00:00,FULL,llm_style,tune,llm_style_tune_009,64,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,82.704,46.92799970507622,55.81824027001858,8.580233262242476,3,-1,-1,64x1536x2048,0,
2026-03-03T06:03:36.788814+00:00,FULL,llm_style,tune,llm_style_tune_010,2,2048,1024,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,56.774,36.86400130391121,159.88608136773104,0.22755554750672122,7,-1,-1,2x2048x1024,0,
2026-03-03T06:03:37.077871+00:00,FULL,llm_style,tune,llm_style_tune_011,2,3072,8192,bf16,NVIDIA GeForce RTX 4060,c10,64,128,64,8,3,8,0.0,289.009,226.30399465560913,254.1363240778446,0.4448144901427394,6,-1,-1,2x3072x8192,0,
2026-03-03T06:03:37.162961+00:00,FULL,llm_style,tune,llm_style_tune_012,64,2048,1536,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,85.047,47.82399907708168,55.31648010015487,8.41947958703772,3,-1,-1,64x2048x1536,0,
2026-03-03T06:03:37.571167+00:00,FULL,llm_style,tune,llm_style_tune_013,16,8192,4096,bf16,NVIDIA GeForce RTX 4060,c02,32,64,32,2,2,8,0.0,408.164,296.7039942741394,395.6675150990483,3.6188991207442833,5,-1,-1,16x8192x4096,0,
2026-03-03T06:03:37.959039+00:00,FULL,llm_style,tune,llm_style_tune_014,4,8192,4096,bf16,NVIDIA GeForce RTX 4060,c10,64,128,64,8,3,8,0.0,387.824,291.83998703956604,326.56383484601963,0.9198035496198368,5,-1,-1,4x8192x4096,0,
2026-03-03T06:03:38.046729+00:00,FULL,llm_style,tune,llm_style_tune_015,4,3072,2048,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,87.648,49.00800064206123,394.4211295247077,1.0270088014323673,7,-1,-1,4x3072x2048,0,
2026-03-03T06:03:38.100646+00:00,FULL,llm_style,tune,llm_style_tune_016,16,1536,1024,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,53.875,35.58399900794029,136.63903787732096,1.4144460825993415,7,-1,-1,16x1536x1024,0,
2026-03-03T06:03:38.170728+00:00,FULL,llm_style,tune,llm_style_tune_017,32,1024,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,70.04,45.903999358415604,60.55935997515914,2.9238787442470153,3,-1,-1,32x1024x2048,0,
2026-03-03T06:03:38.185418+00:00,FULL,llm_style,tune,llm_style_tune_018,64,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,0.0,47.10400104522705,131.5132807940244,8.548173723361447,3,-1,-1,64x1536x2048,0,
2026-03-03T06:03:38.270694+00:00,FULL,llm_style,tune,llm_style_tune_019,4,4096,1536,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,85.234,46.08000069856644,52.59903963655232,1.0922666501080551,7,-1,-1,4x4096x1536,0,
2026-03-03T06:03:38.437963+00:00,FULL,llm_style,tune,llm_style_tune_020,1,8192,1536,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,167.226,61.39199994504452,109.40736249089231,0.4099202505624083,5,-1,-1,1x8192x1536,0,
2026-03-03T06:03:38.538912+00:00,FULL,llm_style,tune,llm_style_tune_021,64,1536,4096,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,100.916,60.27200073003769,66.4230389893055,13.361201855684548,3,-1,-1,64x1536x4096,0,
