method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,2,937.943995,3.988554
BUCKET,1,43,292.863995,5.849489
BUCKET,2,17,468.815997,4.460835
BUCKET,3,57,190.864004,4.043811
BUCKET,4,8,1331.584007,0.470509
BUCKET,5,37,190.320000,1.064245
BUCKET,6,14,396.752007,0.602740
BUCKET,7,78,141.824000,0.506861
FULL,0,2,497.568004,7.544763
FULL,1,43,86.015999,13.637516
FULL,2,17,111.616001,12.561914
FULL,3,57,69.343999,9.459979
FULL,4,8,560.127974,1.106265
FULL,5,37,70.560001,2.165532
FULL,6,14,161.768001,1.586811
FULL,7,78,51.336000,1.235503
TORCH,0,2,1080.520004,3.480052
TORCH,1,43,273.407996,5.685005
TORCH,2,17,285.696000,5.888116
TORCH,3,57,138.751999,4.114927
TORCH,4,8,1144.320011,0.474265
TORCH,5,37,287.231997,0.705851
TORCH,6,14,271.871999,0.738230
TORCH,7,78,100.351997,0.682773
