run,method,split,rows,unique_shapes,runtime_median_us,runtime_mean_us,perf_mean_tflops,tune_cost_ms_sum,tune_count
run1,A,tune,64,59,57.02400114387274,114.36474960646592,4.811932454643733,17733.406000000006,59
run1,A,eval,256,169,65.70399925112724,122.55006215491449,5.962814785835367,25736.274999999987,139
run1,A,all,320,198,65.52799977362156,120.91299964522477,5.732638319597039,43469.681,198
run1,B,tune,64,59,98.76799955964088,157.27900007914286,3.661997197295621,1538.406,8
run1,B,eval,256,169,214.49600160121918,330.7946874119807,2.408451800759173,0.0,0
run1,B,all,320,198,178.94399911165237,296.09154994541313,2.6591608800664632,1538.406,8
run2,A,tune,64,59,62.86399997770786,116.49324977770448,4.691886340623884,12114.008999999998,59
run2,A,eval,256,169,65.56000001728535,121.55037504271604,5.946153022235793,25684.92200000001,139
run2,A,all,320,198,65.42399898171425,120.53894998971373,5.6952996859134135,37798.93100000001,198
run2,B,tune,64,59,93.65600161254406,147.45900017442182,3.918290524846048,6009.8550000000005,8
run2,B,eval,256,169,254.41599637269974,330.3326872701291,2.0354096246320905,0.0,0
run2,B,all,320,198,218.11199933290482,293.75794985098764,2.411985804674883,6009.8550000000005,8
avg,A,tune,64.0,59.0,59.9440005607903,115.4289996920852,4.751909397633808,14923.707500000002,59.0
avg,A,eval,256.0,169.0,65.6319996342063,122.05021859881526,5.95448390403558,25710.5985,139.0
avg,A,all,320.0,198.0,65.4759993776679,120.72597481746925,5.713969002755226,40634.306000000004,198.0
avg,B,tune,64.0,59.0,96.21200058609247,152.36900012678234,3.7901438610708347,3774.1305,8.0
avg,B,eval,256.0,169.0,234.45599898695946,330.5636873410549,2.221930712695632,0.0,0.0
avg,B,all,320.0,198.0,198.5279992222786,294.9247498982004,2.5355733423706734,3774.1305,8.0
