method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,5,536.048025,0.072740
BUCKET,1,6,123.391997,0.086895
BUCKET,2,103,258.047998,1.097824
BUCKET,3,45,230.304003,4.660183
BUCKET,4,6,281.344004,3.308507
BUCKET,5,14,671.663985,5.091987
BUCKET,6,69,96.768003,1.745280
BUCKET,7,8,468.920007,3.872600
FULL,0,5,231.424004,0.220698
FULL,1,6,43.984001,0.257006
FULL,2,103,89.088000,2.399916
FULL,3,45,71.600001,13.519454
FULL,4,6,60.976001,12.291236
FULL,5,14,236.032002,14.416785
FULL,6,69,44.752000,4.703879
FULL,7,8,97.064001,10.014559
