method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,29,229.312003,5.069070
BUCKET,1,16,622.504011,5.025846
BUCKET,2,2,108.727999,3.248897
BUCKET,3,72,259.776004,3.519442
BUCKET,4,25,171.920002,1.086036
BUCKET,5,20,474.112004,0.774603
BUCKET,6,7,93.184002,0.343061
BUCKET,7,85,202.751994,0.505303
FULL,0,29,81.919998,13.644572
FULL,1,16,327.664010,11.460146
FULL,2,2,68.032000,5.252647
FULL,3,72,74.032001,10.516629
FULL,4,25,66.560000,2.443568
FULL,5,20,294.064000,1.275358
FULL,6,7,40.959999,0.802393
FULL,7,85,57.055999,1.331831
