method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,2,817.103997,4.596878
BUCKET,1,43,319.487989,5.102247
BUCKET,2,17,523.696005,3.900049
BUCKET,3,57,197.600000,3.654557
BUCKET,4,8,922.327995,0.655042
BUCKET,5,37,338.400006,0.648994
BUCKET,6,14,477.183998,0.566159
BUCKET,7,78,119.000003,0.570542
FULL,0,2,494.359985,7.591832
FULL,1,43,103.423998,13.045791
FULL,2,17,112.335999,12.301974
FULL,3,57,64.511999,9.981273
FULL,4,8,558.384001,1.108657
FULL,5,37,80.256000,2.074772
FULL,6,14,162.303999,1.528444
FULL,7,78,51.199999,1.222687
TORCH,0,2,1115.855992,3.355784
TORCH,1,43,308.223993,5.357291
TORCH,2,17,293.888003,5.764350
TORCH,3,57,148.479998,4.008606
TORCH,4,8,1211.896002,0.432000
TORCH,5,37,312.319994,0.695747
TORCH,6,14,317.440003,0.680509
TORCH,7,78,105.439998,0.634114
