method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,3,906.176001,4.584124
BUCKET,1,39,337.920010,5.522624
BUCKET,2,11,565.200001,4.001260
BUCKET,3,30,194.559999,3.782915
BUCKET,4,13,930.815995,1.482187
BUCKET,5,64,221.695997,1.517950
BUCKET,6,14,571.392000,0.897793
BUCKET,7,82,152.064003,0.772517
FULL,0,3,301.088005,13.963939
FULL,1,39,101.104002,14.840552
FULL,2,11,117.760003,13.083943
FULL,3,30,60.392002,11.693415
FULL,4,13,554.912001,2.700304
FULL,5,64,68.423999,3.518162
FULL,6,14,128.832001,2.362960
FULL,7,82,52.984001,2.191862
