timestamp,method,workload,split,shape_id,M,N,K,dtype,gpu,config_id,BLOCK_M,BLOCK_N,BLOCK_K,num_warps,num_stages,GROUP_M,compile_time_ms,tune_time_ms,runtime_cost_us,p99_us,runtime_perf_tflops,bucket_m,bucket_n,bucket_k,cache_key,invalid_config,notes
2026-03-03T03:37:55.272347+00:00,FULL,llm_style,tune,llm_style_tune_000,32,3072,2048,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.7434709696099162,537.175,55.18399924039841,68.20864073932168,7.2965567835328375,7,-1,-1,32x3072x2048,0,
2026-03-03T03:37:55.409537+00:00,FULL,llm_style,tune,llm_style_tune_001,4,4096,1536,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,137.153,51.632000133395195,367.41760030388787,0.9748149959320647,7,-1,-1,4x4096x1536,0,
2026-03-03T03:37:55.542697+00:00,FULL,llm_style,tune,llm_style_tune_002,8,8192,1024,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,133.126,55.296000093221664,171.3568011671302,2.4272592551672245,5,-1,-1,8x8192x1024,0,
2026-03-03T03:37:55.650870+00:00,FULL,llm_style,tune,llm_style_tune_003,64,1024,4096,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,108.131,61.43999844789505,78.8182397186756,8.738133554077153,3,-1,-1,64x1024x4096,0,
2026-03-03T03:37:55.807541+00:00,FULL,llm_style,tune,llm_style_tune_004,16,3072,4096,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,156.63,81.87199756503105,91.93151876330373,4.9180818347588495,7,-1,-1,16x3072x4096,0,
2026-03-03T03:37:55.944760+00:00,FULL,llm_style,tune,llm_style_tune_005,16,1536,4096,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,137.176,71.10400125384331,206.9094429910183,2.8314382939049847,7,-1,-1,16x1536x4096,0,
2026-03-03T03:37:55.999317+00:00,FULL,llm_style,tune,llm_style_tune_006,2,2048,1024,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,54.518,23.423999547958374,125.0144043564796,0.3581202254903197,7,-1,-1,2x2048x1024,0,
2026-03-03T03:37:56.078378+00:00,FULL,llm_style,tune,llm_style_tune_007,32,6144,1024,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,79.02,40.73600098490715,84.10112034529435,9.88445537766912,5,-1,-1,32x6144x1024,0,
2026-03-03T03:37:56.154296+00:00,FULL,llm_style,tune,llm_style_tune_008,8,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,75.873,45.69600149989128,81.35615918785324,1.1014453419982435,7,-1,-1,8x1536x2048,0,
2026-03-03T03:37:56.269625+00:00,FULL,llm_style,tune,llm_style_tune_009,16,1024,6144,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,115.282,70.54400071501732,78.8684768974781,2.8539151445821225,6,-1,-1,16x1024x6144,0,
