timestamp,method,workload,split,shape_id,M,N,K,dtype,gpu,config_id,BLOCK_M,BLOCK_N,BLOCK_K,num_warps,num_stages,GROUP_M,compile_time_ms,tune_time_ms,runtime_cost_us,p99_us,runtime_perf_tflops,bucket_m,bucket_n,bucket_k,cache_key,invalid_config,notes
2026-03-03T03:26:16.743594+00:00,FULL,llm_style,tune,llm_style_tune_000,32,3072,2048,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.7333989487960935,497.013,56.28800019621849,105.09247779846179,7.153446251356623,3,-1,-1,32x3072x2048,0,
2026-03-03T03:26:16.861397+00:00,FULL,llm_style,tune,llm_style_tune_001,4,4096,1536,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,117.771,52.22399905323982,66.11968003213404,0.9637647233542828,7,-1,-1,4x4096x1536,0,
2026-03-03T03:26:16.968127+00:00,FULL,llm_style,tune,llm_style_tune_002,8,8192,1024,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,106.697,53.247999399900436,125.15328101813768,2.520615413022465,5,-1,-1,8x8192x1024,0,
2026-03-03T03:26:17.071444+00:00,FULL,llm_style,tune,llm_style_tune_003,64,1024,4096,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,103.276,65.5359998345375,171.28448188304884,8.192000020682812,3,-1,-1,64x1024x4096,0,
2026-03-03T03:26:17.223640+00:00,FULL,llm_style,tune,llm_style_tune_004,16,3072,4096,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,152.154,77.82399654388428,181.7804817855357,5.173894966611581,7,-1,-1,16x3072x4096,0,
2026-03-03T03:26:17.328199+00:00,FULL,llm_style,tune,llm_style_tune_005,16,1536,4096,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,104.511,64.51199948787689,72.11328111588954,3.1207619295358113,7,-1,-1,16x1536x4096,0,
2026-03-03T03:26:17.391592+00:00,FULL,llm_style,tune,llm_style_tune_006,2,2048,1024,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,63.351,39.93599861860275,45.401919186115265,0.21005128931701406,7,-1,-1,2x2048x1024,0,
2026-03-03T03:26:17.467050+00:00,FULL,llm_style,tune,llm_style_tune_007,32,6144,1024,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,75.419,41.728001087903976,106.52352131903169,9.649472141063576,1,-1,-1,32x6144x1024,0,
2026-03-03T03:26:17.540690+00:00,FULL,llm_style,tune,llm_style_tune_008,8,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,73.596,46.032000333070755,54.76991944015025,1.0934056229540008,7,-1,-1,8x1536x2048,0,
2026-03-03T03:26:17.653120+00:00,FULL,llm_style,tune,llm_style_tune_009,16,1024,6144,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,112.388,70.44799998402596,87.20383971929547,2.8578042250404647,6,-1,-1,16x1024x6144,0,
2026-03-03T03:26:17.727335+00:00,FULL,llm_style,tune,llm_style_tune_010,64,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,74.174,49.15200173854828,92.71296143531788,8.191999710241964,3,-1,-1,64x1536x2048,0,
2026-03-03T03:26:17.825032+00:00,FULL,llm_style,tune,llm_style_tune_011,64,1536,4096,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,97.658,57.34400078654289,71.31359763443466,14.043428378805825,3,-1,-1,64x1536x4096,0,
2026-03-03T03:26:17.898882+00:00,FULL,llm_style,tune,llm_style_tune_012,32,1024,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,73.808,47.968000173568726,54.835199937224374,2.7980680352389697,3,-1,-1,32x1024x2048,0,
2026-03-03T03:26:17.952785+00:00,FULL,llm_style,tune,llm_style_tune_013,64,1536,1024,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,53.865,35.840000957250595,57.364480793476105,5.617371278537052,3,-1,-1,64x1536x1024,0,
2026-03-03T03:26:18.191851+00:00,FULL,llm_style,tune,llm_style_tune_014,4,6144,3072,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,239.027,176.12800002098083,219.84000265598291,0.8573023254792712,5,-1,-1,4x6144x3072,0,
2026-03-03T03:26:18.288432+00:00,FULL,llm_style,tune,llm_style_tune_015,1,6144,1024,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,96.545,39.93599861860275,54.728959426283836,0.31507693397552106,5,-1,-1,1x6144x1024,0,
2026-03-03T03:26:18.704596+00:00,FULL,llm_style,tune,llm_style_tune_016,4,8192,4096,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,416.12,293.2479977607727,404.46975141763676,0.9153871741657571,5,-1,-1,4x8192x4096,0,
2026-03-03T03:26:18.731773+00:00,FULL,llm_style,tune,llm_style_tune_017,64,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,0.0,68.60800087451935,143.04255992174146,5.868895447579545,3,-1,-1,64x1536x2048,0,
2026-03-03T03:26:18.898162+00:00,FULL,llm_style,tune,llm_style_tune_018,64,8192,1536,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,166.345,96.25600278377533,171.53087854385367,16.73259526076519,1,-1,-1,64x8192x1536,0,
2026-03-03T03:26:18.958483+00:00,FULL,llm_style,tune,llm_style_tune_019,2,1536,1024,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,60.28,38.76800090074539,44.656318910419934,0.16228476717454454,7,-1,-1,2x1536x1024,0,
2026-03-03T03:26:19.016933+00:00,FULL,llm_style,tune,llm_style_tune_020,16,1024,1536,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,58.413,40.62400013208389,58.75071957707403,1.2389633673777298,7,-1,-1,16x1024x1536,0,
2026-03-03T03:26:19.131485+00:00,FULL,llm_style,tune,llm_style_tune_021,1,6144,1536,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,114.509,46.959999948740005,64.17408119887111,0.40192436159716016,5,-1,-1,1x6144x1536,0,
2026-03-03T03:26:19.351114+00:00,FULL,llm_style,tune,llm_style_tune_022,8,4096,4096,bf16,NVIDIA GeForce RTX 4060,c03,64,64,32,4,2,8,0.0,219.586,162.1439978480339,268.2879865169525,1.6555374208275386,7,-1,-1,8x4096x4096,0,
2026-03-03T03:26:19.763761+00:00,FULL,llm_style,tune,llm_style_tune_023,2,4096,8192,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,412.606,296.4479923248291,348.7616014480591,0.45275303417448226,6,-1,-1,2x4096x8192,0,
2026-03-03T03:26:19.794835+00:00,FULL,llm_style,tune,llm_style_tune_024,64,1536,2048,bf16,NVIDIA GeForce RTX 4060,c04,64,64,64,4,3,8,0.0,0.0,47.47200012207031,150.8723172545432,8.481908977178353,3,-1,-1,64x1536x2048,0,
2026-03-03T03:26:19.819325+00:00,FULL,llm_style,tune,llm_style_tune_025,4,4096,1536,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,0.0,50.016000866889954,111.33951663970943,1.0063109230574052,7,-1,-1,4x4096x1536,0,
2026-03-03T03:26:19.896296+00:00,FULL,llm_style,tune,llm_style_tune_026,4,3072,2048,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,76.916,45.05600035190582,102.35231705009937,1.1170909003659715,7,-1,-1,4x3072x2048,0,
2026-03-03T03:26:19.965312+00:00,FULL,llm_style,tune,llm_style_tune_027,8,4096,1024,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,68.974,39.24799896776676,100.86400419473637,1.7098671464783353,7,-1,-1,8x4096x1024,0,
2026-03-03T03:26:20.023128+00:00,FULL,llm_style,tune,llm_style_tune_028,16,1536,1024,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,57.775,15.359999611973763,67.87071865051979,3.276800082778933,7,-1,-1,16x1536x1024,0,
2026-03-03T03:26:20.430241+00:00,FULL,llm_style,tune,llm_style_tune_029,64,4096,8192,bf16,NVIDIA GeForce RTX 4060,c06,64,128,32,4,3,8,0.0,407.073,301.40799283981323,357.5772845745086,14.249679497658875,2,-1,-1,64x4096x8192,0,
2026-03-03T03:26:20.573446+00:00,FULL,llm_style,tune,llm_style_tune_030,1,8192,1536,bf16,NVIDIA GeForce RTX 4060,c00,32,32,32,2,2,8,0.0,143.161,38.91199827194214,155.15904307365415,0.6467368708264476,5,-1,-1,1x8192x1536,0,
2026-03-03T03:26:21.126205+00:00,FULL,llm_style,tune,llm_style_tune_031,1,8192,6144,bf16,NVIDIA GeForce RTX 4060,c11,32,128,32,4,2,8,0.0,552.713,423.93600940704346,460.2329623699188,0.2374492700933735,4,-1,-1,1x8192x6144,0,
