method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,10,1021.615997,5.111074
BUCKET,1,32,344.055995,5.072353
BUCKET,2,16,304.127991,4.540565
BUCKET,3,25,165.887997,3.580003
BUCKET,4,20,713.616014,1.776876
BUCKET,5,57,205.792002,1.489902
BUCKET,6,27,445.344001,0.936320
BUCKET,7,69,136.079997,0.675342
FULL,0,10,305.128001,14.115688
FULL,1,32,95.128002,15.086754
FULL,2,16,94.208002,12.908645
FULL,3,25,63.471999,10.974756
FULL,4,20,426.000006,3.086133
FULL,5,57,63.487999,3.355259
FULL,6,27,91.568001,2.819676
FULL,7,69,49.152002,1.915155
