method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,1,2,109.023999,16.460378
BUCKET,2,3,180.063993,9.921756
BUCKET,3,6,97.792003,9.074372
BUCKET,5,2,296.447992,2.735988
BUCKET,7,3,46.080001,3.692709
FULL,1,2,115.456002,16.073686
FULL,2,3,165.887997,11.484409
FULL,3,6,65.935999,10.689660
FULL,5,2,296.944000,2.692500
FULL,7,3,21.504000,4.782849
TORCH,1,2,198.063999,8.438168
TORCH,2,3,253.951997,7.586648
TORCH,3,6,143.199995,5.104386
TORCH,5,2,492.543995,1.632490
TORCH,7,3,59.392001,2.096463
